id,base_date,base_time,target_date,city,city_code,temp_min,temp_max
1,2021-06-18,06:00:00,2021-06-21,busan,11H20201,20.0,26.0
2,2021-06-18,06:00:00,2021-06-21,chungbuk,11C10301,20.0,28.0
3,2021-06-18,06:00:00,2021-06-21,chungnam,11C20401,19.0,28.0
4,2021-06-18,06:00:00,2021-06-21,daegu,11H10701,19.0,31.0
5,2021-06-18,06:00:00,2021-06-21,daejeon,11C20401,19.0,28.0
6,2021-06-18,06:00:00,2021-06-21,gangwon,11D10301,18.0,27.0
7,2021-06-18,06:00:00,2021-06-21,gwangju,11F20501,19.0,29.0
8,2021-06-18,06:00:00,2021-06-21,gyeongbuk,11H10701,19.0,31.0
9,2021-06-18,06:00:00,2021-06-21,gyeonggi,11B20601,18.0,28.0
10,2021-06-18,06:00:00,2021-06-21,gyeongnam,11H20301,19.0,28.0
11,2021-06-18,06:00:00,2021-06-21,incheon,11B20201,18.0,25.0
12,2021-06-18,06:00:00,2021-06-21,jeju,11G00201,22.0,27.0
13,2021-06-18,06:00:00,2021-06-21,jeonbuk,11F10201,19.0,28.0
14,2021-06-18,06:00:00,2021-06-21,jeonnam,21F20804,18.0,27.0
15,2021-06-18,06:00:00,2021-06-21,sejong,11C20404,19.0,28.0
16,2021-06-18,06:00:00,2021-06-21,seoul,11B10101,18.0,28.0
17,2021-06-18,06:00:00,2021-06-21,ulsan,11H20101,19.0,28.0
18,2021-06-18,06:00:00,2021-06-22,busan,11H20201,20.0,25.0
19,2021-06-18,06:00:00,2021-06-22,chungbuk,11C10301,19.0,28.0
20,2021-06-18,06:00:00,2021-06-22,chungnam,11C20401,19.0,27.0
21,2021-06-18,06:00:00,2021-06-22,daegu,11H10701,19.0,28.0
22,2021-06-18,06:00:00,2021-06-22,daejeon,11C20401,19.0,27.0
23,2021-06-18,06:00:00,2021-06-22,gangwon,11D10301,17.0,26.0
24,2021-06-18,06:00:00,2021-06-22,gwangju,11F20501,19.0,28.0
25,2021-06-18,06:00:00,2021-06-22,gyeongbuk,11H10701,19.0,28.0
26,2021-06-18,06:00:00,2021-06-22,gyeonggi,11B20601,19.0,28.0
27,2021-06-18,06:00:00,2021-06-22,gyeongnam,11H20301,19.0,26.0
28,2021-06-18,06:00:00,2021-06-22,incheon,11B20201,18.0,25.0
29,2021-06-18,06:00:00,2021-06-22,jeju,11G00201,21.0,27.0
30,2021-06-18,06:00:00,2021-06-22,jeonbuk,11F10201,19.0,28.0
31,2021-06-18,06:00:00,2021-06-22,jeonnam,21F20804,18.0,27.0
32,2021-06-18,06:00:00,2021-06-22,sejong,11C20404,18.0,27.0
33,2021-06-18,06:00:00,2021-06-22,seoul,11B10101,19.0,27.0
34,2021-06-18,06:00:00,2021-06-22,ulsan,11H20101,19.0,24.0
35,2021-06-18,06:00:00,2021-06-23,busan,11H20201,19.0,24.0
36,2021-06-18,06:00:00,2021-06-23,chungbuk,11C10301,19.0,28.0
37,2021-06-18,06:00:00,2021-06-23,chungnam,11C20401,19.0,27.0
38,2021-06-18,06:00:00,2021-06-23,daegu,11H10701,18.0,26.0
39,2021-06-18,06:00:00,2021-06-23,daejeon,11C20401,19.0,27.0
40,2021-06-18,06:00:00,2021-06-23,gangwon,11D10301,17.0,27.0
41,2021-06-18,06:00:00,2021-06-23,gwangju,11F20501,19.0,27.0
42,2021-06-18,06:00:00,2021-06-23,gyeongbuk,11H10701,18.0,26.0
43,2021-06-18,06:00:00,2021-06-23,gyeonggi,11B20601,18.0,29.0
44,2021-06-18,06:00:00,2021-06-23,gyeongnam,11H20301,18.0,25.0
45,2021-06-18,06:00:00,2021-06-23,incheon,11B20201,19.0,26.0
46,2021-06-18,06:00:00,2021-06-23,jeju,11G00201,20.0,25.0
47,2021-06-18,06:00:00,2021-06-23,jeonbuk,11F10201,19.0,27.0
48,2021-06-18,06:00:00,2021-06-23,jeonnam,21F20804,18.0,26.0
49,2021-06-18,06:00:00,2021-06-23,sejong,11C20404,18.0,27.0
50,2021-06-18,06:00:00,2021-06-23,seoul,11B10101,19.0,28.0
51,2021-06-18,06:00:00,2021-06-23,ulsan,11H20101,18.0,24.0
52,2021-06-18,06:00:00,2021-06-24,busan,11H20201,19.0,25.0
53,2021-06-18,06:00:00,2021-06-24,chungbuk,11C10301,19.0,28.0
54,2021-06-18,06:00:00,2021-06-24,chungnam,11C20401,19.0,28.0
55,2021-06-18,06:00:00,2021-06-24,daegu,11H10701,18.0,27.0
56,2021-06-18,06:00:00,2021-06-24,daejeon,11C20401,19.0,28.0
57,2021-06-18,06:00:00,2021-06-24,gangwon,11D10301,17.0,28.0
58,2021-06-18,06:00:00,2021-06-24,gwangju,11F20501,19.0,27.0
59,2021-06-18,06:00:00,2021-06-24,gyeongbuk,11H10701,18.0,27.0
60,2021-06-18,06:00:00,2021-06-24,gyeonggi,11B20601,19.0,29.0
61,2021-06-18,06:00:00,2021-06-24,gyeongnam,11H20301,19.0,26.0
62,2021-06-18,06:00:00,2021-06-24,incheon,11B20201,19.0,26.0
63,2021-06-18,06:00:00,2021-06-24,jeju,11G00201,21.0,25.0
64,2021-06-18,06:00:00,2021-06-24,jeonbuk,11F10201,19.0,28.0
65,2021-06-18,06:00:00,2021-06-24,jeonnam,21F20804,18.0,25.0
66,2021-06-18,06:00:00,2021-06-24,sejong,11C20404,18.0,27.0
67,2021-06-18,06:00:00,2021-06-24,seoul,11B10101,19.0,28.0
68,2021-06-18,06:00:00,2021-06-24,ulsan,11H20101,18.0,25.0
69,2021-06-18,06:00:00,2021-06-25,busan,11H20201,20.0,25.0
70,2021-06-18,06:00:00,2021-06-25,chungbuk,11C10301,20.0,29.0
71,2021-06-18,06:00:00,2021-06-25,chungnam,11C20401,19.0,28.0
72,2021-06-18,06:00:00,2021-06-25,daegu,11H10701,19.0,27.0
73,2021-06-18,06:00:00,2021-06-25,daejeon,11C20401,19.0,28.0
74,2021-06-18,06:00:00,2021-06-25,gangwon,11D10301,18.0,27.0
75,2021-06-18,06:00:00,2021-06-25,gwangju,11F20501,20.0,28.0
76,2021-06-18,06:00:00,2021-06-25,gyeongbuk,11H10701,19.0,27.0
77,2021-06-18,06:00:00,2021-06-25,gyeonggi,11B20601,20.0,29.0
78,2021-06-18,06:00:00,2021-06-25,gyeongnam,11H20301,19.0,26.0
79,2021-06-18,06:00:00,2021-06-25,incheon,11B20201,20.0,26.0
80,2021-06-18,06:00:00,2021-06-25,jeju,11G00201,21.0,27.0
81,2021-06-18,06:00:00,2021-06-25,jeonbuk,11F10201,20.0,29.0
82,2021-06-18,06:00:00,2021-06-25,jeonnam,21F20804,19.0,26.0
83,2021-06-18,06:00:00,2021-06-25,sejong,11C20404,19.0,28.0
84,2021-06-18,06:00:00,2021-06-25,seoul,11B10101,20.0,28.0
85,2021-06-18,06:00:00,2021-06-25,ulsan,11H20101,19.0,25.0
86,2021-06-18,06:00:00,2021-06-26,busan,11H20201,20.0,26.0
87,2021-06-18,06:00:00,2021-06-26,chungbuk,11C10301,21.0,29.0
88,2021-06-18,06:00:00,2021-06-26,chungnam,11C20401,21.0,29.0
89,2021-06-18,06:00:00,2021-06-26,daegu,11H10701,20.0,28.0
90,2021-06-18,06:00:00,2021-06-26,daejeon,11C20401,21.0,29.0
91,2021-06-18,06:00:00,2021-06-26,gangwon,11D10301,19.0,29.0
92,2021-06-18,06:00:00,2021-06-26,gwangju,11F20501,21.0,28.0
93,2021-06-18,06:00:00,2021-06-26,gyeongbuk,11H10701,20.0,28.0
94,2021-06-18,06:00:00,2021-06-26,gyeonggi,11B20601,20.0,29.0
95,2021-06-18,06:00:00,2021-06-26,gyeongnam,11H20301,20.0,27.0
96,2021-06-18,06:00:00,2021-06-26,incheon,11B20201,20.0,27.0
97,2021-06-18,06:00:00,2021-06-26,jeju,11G00201,21.0,27.0
98,2021-06-18,06:00:00,2021-06-26,jeonbuk,11F10201,20.0,29.0
99,2021-06-18,06:00:00,2021-06-26,jeonnam,21F20804,19.0,27.0
100,2021-06-18,06:00:00,2021-06-26,sejong,11C20404,19.0,28.0
101,2021-06-18,06:00:00,2021-06-26,seoul,11B10101,21.0,29.0
102,2021-06-18,06:00:00,2021-06-26,ulsan,11H20101,19.0,26.0
103,2021-06-18,06:00:00,2021-06-27,busan,11H20201,20.0,25.0
104,2021-06-18,06:00:00,2021-06-27,chungbuk,11C10301,21.0,29.0
105,2021-06-18,06:00:00,2021-06-27,chungnam,11C20401,21.0,29.0
106,2021-06-18,06:00:00,2021-06-27,daegu,11H10701,20.0,28.0
107,2021-06-18,06:00:00,2021-06-27,daejeon,11C20401,21.0,29.0
108,2021-06-18,06:00:00,2021-06-27,gangwon,11D10301,19.0,28.0
109,2021-06-18,06:00:00,2021-06-27,gwangju,11F20501,21.0,28.0
110,2021-06-18,06:00:00,2021-06-27,gyeongbuk,11H10701,20.0,28.0
111,2021-06-18,06:00:00,2021-06-27,gyeonggi,11B20601,20.0,29.0
112,2021-06-18,06:00:00,2021-06-27,gyeongnam,11H20301,20.0,27.0
113,2021-06-18,06:00:00,2021-06-27,incheon,11B20201,21.0,26.0
114,2021-06-18,06:00:00,2021-06-27,jeju,11G00201,22.0,27.0
115,2021-06-18,06:00:00,2021-06-27,jeonbuk,11F10201,21.0,29.0
116,2021-06-18,06:00:00,2021-06-27,jeonnam,21F20804,20.0,26.0
117,2021-06-18,06:00:00,2021-06-27,sejong,11C20404,20.0,28.0
118,2021-06-18,06:00:00,2021-06-27,seoul,11B10101,21.0,28.0
119,2021-06-18,06:00:00,2021-06-27,ulsan,11H20101,19.0,26.0
120,2021-06-18,06:00:00,2021-06-28,busan,11H20201,20.0,25.0
121,2021-06-18,06:00:00,2021-06-28,chungbuk,11C10301,21.0,29.0
122,2021-06-18,06:00:00,2021-06-28,chungnam,11C20401,21.0,28.0
123,2021-06-18,06:00:00,2021-06-28,daegu,11H10701,20.0,28.0
124,2021-06-18,06:00:00,2021-06-28,daejeon,11C20401,21.0,28.0
125,2021-06-18,06:00:00,2021-06-28,gangwon,11D10301,19.0,29.0
126,2021-06-18,06:00:00,2021-06-28,gwangju,11F20501,21.0,28.0
127,2021-06-18,06:00:00,2021-06-28,gyeongbuk,11H10701,20.0,28.0
128,2021-06-18,06:00:00,2021-06-28,gyeonggi,11B20601,20.0,29.0
129,2021-06-18,06:00:00,2021-06-28,gyeongnam,11H20301,20.0,26.0
130,2021-06-18,06:00:00,2021-06-28,incheon,11B20201,20.0,26.0
131,2021-06-18,06:00:00,2021-06-28,jeju,11G00201,22.0,27.0
132,2021-06-18,06:00:00,2021-06-28,jeonbuk,11F10201,21.0,29.0
133,2021-06-18,06:00:00,2021-06-28,jeonnam,21F20804,20.0,27.0
134,2021-06-18,06:00:00,2021-06-28,sejong,11C20404,19.0,28.0
135,2021-06-18,06:00:00,2021-06-28,seoul,11B10101,21.0,29.0
136,2021-06-18,06:00:00,2021-06-28,ulsan,11H20101,20.0,27.0
